"soil_salinity","soil_pH","water_temperature","water_salinity","soil_nutrient","salt_tolerant_rice","Shrimp_stockiing_density","water_color_management","rice_color","probability_of_rice_faliure","probability_of_shrimp_faliure"
"1","1","1","1","1","1","1","1","1","0.40625","0.230798"
"1","1","1","1","1","1","1","2","1","0.40625","0.224068"
"1","1","1","1","1","1","1","1","2","0.45","0.230798"
"1","1","1","1","1","1","1","2","2","0.45","0.224068"
"1","1","1","1","1","1","1","1","3","0.5","0.230798"
"1","1","1","1","1","1","1","2","3","0.5","0.224068"
"1","1","1","1","1","1","1","1","4","0.5","0.230798"
"1","1","1","1","1","1","1","2","4","0.5","0.224068"
"1","1","1","1","1","1","2","1","1","0.40625","0.407241"
"1","1","1","1","1","1","2","2","1","0.40625","0.401707"
"1","1","1","1","1","1","2","1","2","0.45","0.407241"
"1","1","1","1","1","1","2","2","2","0.45","0.401707"
"1","1","1","1","1","1","2","1","3","0.5","0.407241"
"1","1","1","1","1","1","2","2","3","0.5","0.401707"
"1","1","1","1","1","1","2","1","4","0.5","0.407241"
"1","1","1","1","1","1","2","2","4","0.5","0.401707"
"1","1","1","1","1","1","3","1","1","0.40625","0.63954"
"1","1","1","1","1","1","3","2","1","0.40625","0.635014"
"1","1","1","1","1","1","3","1","2","0.45","0.63954"
"1","1","1","1","1","1","3","2","2","0.45","0.635014"
"1","1","1","1","1","1","3","1","3","0.5","0.63954"
"1","1","1","1","1","1","3","2","3","0.5","0.635014"
"1","1","1","1","1","1","3","1","4","0.5","0.63954"
"1","1","1","1","1","1","3","2","4","0.5","0.635014"
"1","1","1","1","1","2","1","1","1","0.125","0.230798"
"1","1","1","1","1","2","1","2","1","0.125","0.224068"
"1","1","1","1","1","2","1","1","2","0.308337","0.230798"
"1","1","1","1","1","2","1","2","2","0.308337","0.224068"
"1","1","1","1","1","2","1","1","3","0.583337","0.230798"
"1","1","1","1","1","2","1","2","3","0.583338","0.224068"
"1","1","1","1","1","2","1","1","4","0.5875","0.230798"
"1","1","1","1","1","2","1","2","4","0.5875","0.224068"
"1","1","1","1","1","2","2","1","1","0.125","0.407241"
"1","1","1","1","1","2","2","2","1","0.125","0.401707"
"1","1","1","1","1","2","2","1","2","0.308338","0.407241"
"1","1","1","1","1","2","2","2","2","0.308337","0.401707"
"1","1","1","1","1","2","2","1","3","0.583337","0.407241"
"1","1","1","1","1","2","2","2","3","0.583338","0.401707"
"1","1","1","1","1","2","2","1","4","0.5875","0.407241"
"1","1","1","1","1","2","2","2","4","0.5875","0.401707"
"1","1","1","1","1","2","3","1","1","0.125","0.63954"
"1","1","1","1","1","2","3","2","1","0.125","0.635014"
"1","1","1","1","1","2","3","1","2","0.308337","0.63954"
"1","1","1","1","1","2","3","2","2","0.308337","0.635014"
"1","1","1","1","1","2","3","1","3","0.583337","0.63954"
"1","1","1","1","1","2","3","2","3","0.583337","0.635014"
"1","1","1","1","1","2","3","1","4","0.5875","0.63954"
"1","1","1","1","1","2","3","2","4","0.5875","0.635014"
"1","1","1","1","2","1","1","1","1","0.40625","0.230798"
"1","1","1","1","2","1","1","2","1","0.40625","0.224068"
"1","1","1","1","2","1","1","1","2","0.45","0.230798"
"1","1","1","1","2","1","1","2","2","0.45","0.224068"
"1","1","1","1","2","1","1","1","3","0.5","0.230798"
"1","1","1","1","2","1","1","2","3","0.5","0.224068"
"1","1","1","1","2","1","1","1","4","0.5","0.230798"
"1","1","1","1","2","1","1","2","4","0.5","0.224068"
"1","1","1","1","2","1","2","1","1","0.40625","0.407241"
"1","1","1","1","2","1","2","2","1","0.40625","0.401707"
