"Rain","wet_season","soil_nutrient","lime_soil","soil_tilling","sali_tolerant_rice","water_color_management","shrimp_stocking_density","probability_of_rice_faliure","probability_of_shrimp_faliure"
"1","1","1","1","1","1","1","1","0.319829","0.297356"
"1","1","1","1","1","1","1","2","0.274354","0.328701"
"1","1","1","1","1","1","1","3","0.194115","0.766656"
"1","1","1","1","1","1","2","1","0.319829","0.239434"
"1","1","1","1","1","1","2","2","0.274354","0.262026"
"1","1","1","1","1","1","2","3","0.194115","0.716999"
"1","1","1","1","1","2","1","1","0.317977","0.297356"
"1","1","1","1","1","2","1","2","0.265458","0.328701"
"1","1","1","1","1","2","1","3","0.185251","0.766656"
"1","1","1","1","1","2","2","1","0.317977","0.239434"
"1","1","1","1","1","2","2","2","0.265458","0.262026"
"1","1","1","1","1","2","2","3","0.185251","0.716999"
"1","1","1","1","2","1","1","1","0.310847","0.300387"
"1","1","1","1","2","1","1","2","0.266007","0.327296"
"1","1","1","1","2","1","1","3","0.193803","0.76657"
"1","1","1","1","2","1","2","1","0.310847","0.239233"
"1","1","1","1","2","1","2","2","0.266007","0.257508"
"1","1","1","1","2","1","2","3","0.193803","0.716201"
"1","1","1","1","2","2","1","1","0.306091","0.300387"
"1","1","1","1","2","2","1","2","0.251816","0.327296"
"1","1","1","1","2","2","1","3","0.176754","0.76657"
"1","1","1","1","2","2","2","1","0.306091","0.239233"
"1","1","1","1","2","2","2","2","0.251816","0.257508"
"1","1","1","1","2","2","2","3","0.176754","0.716201"
"1","1","1","2","1","1","1","1","0.29215","0.306697"
"1","1","1","2","1","1","1","2","0.2503","0.324653"
"1","1","1","2","1","1","1","3","0.19328","0.766425"
"1","1","1","2","1","1","2","1","0.29215","0.238815"
"1","1","1","2","1","1","2","2","0.2503","0.249005"
"1","1","1","2","1","1","2","3","0.19328","0.714863"
"1","1","1","2","1","2","1","1","0.281349","0.306697"
"1","1","1","2","1","2","1","2","0.226143","0.324653"
"1","1","1","2","1","2","1","3","0.162498","0.766425"
"1","1","1","2","1","2","2","1","0.281349","0.238815"
"1","1","1","2","1","2","2","2","0.226143","0.249005"
"1","1","1","2","1","2","2","3","0.162498","0.714863"
"1","1","1","2","2","1","1","1","0.272344","0.3137"
"1","1","1","2","2","1","1","2","0.235166","0.322289"
